Country Name ID,Country Name
1,Afghanistan
2,Australia
3,Austria
4,Bangladesh
5,Belgium
6,Canada
7,Chad
8,China
9,"Congo, Dem. Rep."
10,Denmark
11,Ethiopia
12,Finland
13,France
14,Germany
15,India
16,Ireland
17,Italy
18,Japan
19,Kenya
20,"Korea, Rep."
21,Madagascar
22,Malawi
23,Mozambique
24,Myanmar
25,Nepal
26,Netherlands
27,New Zealand
28,Nigeria
29,Norway
30,Pakistan
31,Singapore
32,South Sudan
33,Sweden
34,Switzerland
35,Tanzania
36,Uganda
37,United Kingdom
38,United States
39,"Yemen, Rep."
40,Zimbabwe
