id,location
01,Afghanistan
02,Australia
03,Austria
04,Bangladesh
05,Belgium
06,Burundi
07,Cambodia
08,Canada
09,"Congo, Dem. Rep."
10,Ethiopia
11,Central African Republic
12,Denmark
13,Finland
14,France
15,Germany
16,Honduras
17,"Hong Kong SAR, China"
18,India
19,Ireland
20,Italy
21,Kyrgyz Republic
22,Liberia
23,Madagascar
24,Mozambique
25,Myanmar
26,Nepal
27,Netherlands
28,Nicaragua
29,Norway
30,Pakistan
31,Papua New Guinea
32,Saudi Arabia
33,Singapore
34,Somalia
35,Sweden
36,Switzerland
37,Tajikistan
38,United Kingdom
39,United Arab Emirates
40,United States
41,China
