,0
1993,25958546729023.5
1994,27941899637871.3
1995,31149677985790.3
1996,31866900968539.3
1997,31760810644454.6
1998,31702676349248.1
1999,32747088959180.2
2000,33855853033266.6
2001,33646060924936.8
2002,34940171807391.6
2003,39181755907935.4
2004,44151098975078
2005,47811684840222.7
2006,51815358465522.1
2007,58389218140008.7
2008,64152276357317
2009,60814498796339.1
2010,66609708734786.2
2011,74080837776246.3
2012,75705854038889.1
2013,77873446166547
2014,80020337644636.3
2015,75472473882835.1
2016,76702553625899.1
2017,81712043350515.4
2018,86884839554431.6
2019,88149850742945.9
2020,85763013427792.9
2021,97848299706454.8
2022,101770911729948
2023,106171667873321
