,Feature,Non_Zero_Coefficient
1823,01611304014461,-0.25308564176291237
7554,06402000042168,-0.08219632105496869
537,00500101000049,-0.07302756742244507
9145,07552601027963,-0.05141674352756297
9076,07472600027955,-0.046440685834306494
11784,09812000042494,-0.03243964300077408
4190,04110101000410,-0.030754915806865582
9091,07512000042279,-0.02554649602818974
12001,09891300015300,-0.017751645875147038
8717,07262600027934,-0.017220486377466256
1445,01382500026047,-0.01719531376828812
8425,07140400005010,-0.015898313456102355
615,00563200055903,-0.015532987777859658
1173,01120101000112,-0.012815188113585526
920,00741400015825,-0.011629078323661017
2342,02422800044614,-0.011489954998169656
13618,11043301034040,-0.011285966424569376
2375,02433800037455,-0.010633149760401337
1380,01303000030335,-0.010019346808685057
2330,02421300014542,-0.009643234885783343
10897,09171304015273,-0.009268934466170548
10404,08873704036687,-0.008881009541049945
16310,13871300015707,-0.008388172635227875
3470,03581300014678,-0.006728674083194601
9666,08140805039469,-0.00650784058531394
2010,02071405015939,-0.006390675844700061
1297,01212100021601,-0.006283539441060489
10624,08962601028104,-0.00625268552229141
12111,09931300015304,-0.006032886930518474
6992,05933403034961,-0.0059852427197278815
1391,01313000030336,-0.00597767804965704
3355,03532700043313,-0.005360264513461528
12410,10041300015315,-0.005356931564794675
15090,12450500006973,-0.005248008712183017
551,00503501047305,-0.004954083078852522
15480,12801500018464,-0.004797536735488093
11151,09442600028136,-0.004537681634765506
11806,09821300015287,-0.004361738409166265
8107,07013400035069,-0.0042305167083122736
14436,11830100001183,-0.004048878225583293
11168,09452600028137,-0.0038739759349969197
13416,10682800045460,-0.003403924354105594
7984,06952700043655,-0.0034034350803880836
12386,10031300015314,-0.0033159466036072655
769,00652600027272,-0.0031134862380599285
14297,11752100022655,-0.003051964483038641
10063,08703505048126,-0.0027459527004506817
13669,11253800038357,-0.0027022177290981
1483,01422300023187,-0.002700301414671878
565,00521300014371,-0.002565937850822917
13417,10683500048324,-0.0025198684496743414
9119,07530500006481,-0.002319312193090658
12357,10021300015313,-0.002017977719115696
568,00531300014372,-0.0020178553406203456
8802,07302604027938,-0.0018641156254492538
14782,12280100001228,-0.0018290727405653074
10497,08912601028099,-0.0017918143629959786
8450,07143700036514,-0.0017604949319320418
8767,07290604007889,-0.001738992891769644
15584,12871800041383,-0.001629204300168838
7101,06070600007767,-0.0015122721305161687
10553,08932601028101,-0.0014531294085200221
14191,11713700036971,-0.0013651264991894191
14949,12361500018420,-0.001312721489690897
5655,04973000030569,-0.00117414808750554
9477,07832503026550,-0.0011370595328822242
15512,12821500018466,-0.0010703266915254427
15075,12433400035611,-0.001033705896621049
15346,12711400017023,-0.0009047332000404055
2172,02212800044593,-0.0008568855169798664
1345,01263000030331,-0.0006705995090701872
14969,12371500018421,-0.0005945799886548209
3336,03530200001785,-0.0005898664946615468
16504,14062300024318,-0.0005107369678676662
7625,06462704043606,-0.00048782333667812626
1481,01420400004571,-0.00043414900923599065
8555,07190300003583,-0.0003564930239526159
8096,07012000042229,-0.00032857757558005777
2384,02441300014544,-0.0002569003297385608
16665,14110100001411,-0.0002555406592363094
10278,08823304033818,-0.0002461428595855585
14794,12282700044188,-0.00020128756173514055
7501,06350500006363,-0.00019158393600164544
2711,02774004053261,-0.00011876749012363472
10316,08841304015204,-9.452014344015816e-05
659,00583200055905,-8.91838627097043e-05
3348,03531900046177,-8.578011496413368e-05
16643,14101400017162,-2.2315476368687002e-05
5591,04901700020538,-2.156210850476923e-05
11200,09472600028139,-1.00377802905656e-05
6267,05433700036343,-6.445083996978912e-06
14755,12262700044186,-4.120012515364888e-06
15832,13353704037135,-3.505902151870966e-06
13559,11000202002532,-2.3655320126956463e-19
4295,04153100031919,-0.0
16849,14310300004295,0.0
16850,14310400005727,0.0
16851,14310700055847,0.0
16852,14310800040095,0.0
16853,14310900010023,0.0
16854,14311000012887,0.0
16855,14311300015751,0.0
16856,14311600020047,-0.0
16857,14312200052983,0.0
16858,14312300024343,0.0
16859,14312400025775,0.0
16860,14312500027207,0.0
16861,14312600028639,0.0
16862,14312800045823,0.0
15,00030900008594,0.0
16878,14323901051552,0.0
1,00020800038665,0.0
2,00021100010025,0.0
3,00022100021481,0.0
4,00022200051553,-0.0
5,00022400024345,0.0
6,00022500025777,0.0
7,00022800044393,0.0
8,00023200055849,-0.0
9,00023500047257,0.0
10,00023600048689,-0.0
11,00023900050121,-0.0
16863,14312900030071,0.0
13,00030400004298,0.0
14,00030800038666,0.0
17,00031500017186,0.0
112,00261200012913,-0.0
113,00261500017209,0.0
114,00261600018641,0.0
115,00261700020073,-0.0
116,00261800040121,0.0
117,00262000041553,-0.0
118,00262100021505,0.0
119,00262300022937,-0.0
120,00262500025801,0.0
121,00262700042985,-0.0
122,00262900028665,-0.0
123,00263300032961,0.0
124,00263500047281,-0.0
125,00263600048713,-0.0
126,00263800037257,-0.0
16,00031100010026,0.0
128,00270505005754,0.0
129,00270805038690,0.0
130,00270905008618,0.0
131,00271005011482,0.0
132,00271405015778,0.0
16865,14313400035799,0.0
134,00271605018642,0.0
135,00271705020074,0.0
136,00271805040122,0.0
137,00271905045850,0.0
138,00272005041554,0.0
139,00272405024370,0.0
140,00272505025802,0.0
141,00272605027234,0.0
142,00272705042986,0.0
143,00272805044418,0.0
16866,14313700037231,0.0
145,00273105031530,0.0
146,00273305032962,0.0
147,00273405034394,0.0
148,00273505047282,0.0
149,00273605048714,0.0
150,00274005053010,0.0
151,00280800038691,-0.0
152,00281000011483,0.0
153,00281200012915,0.0
154,00281400015779,0.0
155,00281500017211,0.0
156,00281700020075,-0.0
157,00281800040123,-0.0
158,00281900045851,-0.0
159,00282000041555,-0.0
160,00282500025803,0.0
161,00282600027235,0.0
162,00282700042987,0.0
163,00282800044419,-0.0
164,00282900028667,0.0
165,00283000030099,0.0
166,00283100031531,-0.0
167,00283300032963,0.0
168,00283400034395,-0.0
169,00283500047283,0.0
170,00283600048715,-0.0
171,00283800037259,-0.0
172,00290205001460,0.0
173,00290405004324,0.0
174,00290505005756,0.0
175,00290605007188,0.0
176,00290805038692,0.0
177,00291205012916,0.0
178,00291305014348,0.0
16867,14313900051551,0.0
180,00291505017212,0.0
181,00291805040124,-0.0
182,00291905045852,0.0
183,00292005041556,0.0
184,00292105021508,-0.0
185,00292605027236,0.0
186,00292705042988,0.0
187,00292805044420,0.0
188,00292905028668,0.0
189,00293005030100,0.0
190,00293105031532,0.0
191,00293305032964,0.0
192,00293405034396,0.0
193,00293505047284,0.0
194,00293605048716,-0.0
195,00293805037260,0.0
196,00300800038693,-0.0
197,00301000011485,0.0
198,00301200012917,0.0
199,00301300014349,-0.0
200,00301400015781,0.0
201,00301500017213,0.0
202,00301700020077,-0.0
203,00301800040125,-0.0
204,00301900045853,-0.0
205,00302000041557,-0.0
206,00302500025805,0.0
207,00302700042989,0.0
208,00302800044421,-0.0
209,00303100031533,-0.0
210,00303300032965,0.0
211,00303400034397,-0.0
212,00303500047285,0.0
213,00303600048717,-0.0
214,00303800037261,-0.0
215,00310205001462,0.0
216,00310405004326,0.0
217,00310505005758,0.0
218,00310605007190,0.0
219,00310805038694,0.0
220,00311205012918,0.0
16868,14314000054415,0.0
222,00311505017214,0.0
223,00311705020078,0.0
224,00311805040126,-0.0
225,00311905045854,0.0
226,00312005041558,0.0
227,00312105021510,-0.0
228,00312505025806,0.0
229,00312705042990,0.0
230,00313305032966,0.0
231,00313405034398,0.0
232,00313605048718,-0.0
233,00313805037262,0.0
234,00320400004327,0.0
235,00320600007191,0.0
236,00320700054447,0.0
237,00320800038695,-0.0
238,00321100010055,0.0
239,00321900045855,-0.0
240,00322000041559,0.0
241,00322200051583,-0.0
242,00322300022943,0.0
243,00322700042991,-0.0
244,00322800044423,-0.0
245,00322900028671,-0.0
246,00323000030103,0.0
247,00323100031535,-0.0
248,00323300032967,-0.0
249,00323400034399,-0.0
250,00323500047287,0.0
251,00323600048719,0.0
252,00323700035831,-0.0
16869,14320101001432,0.0
16870,14320701055848,-0.0
255,00330504005760,0.0
256,00330604007192,0.0
257,00330704054448,0.0
258,00330804038696,0.0
259,00330904008624,0.0
260,00331104010056,0.0
261,00331304014352,0.0
16871,14320901010024,-0.0
263,00331504017216,0.0
264,00331704020080,0.0
265,00331904045856,0.0
266,00332004041560,0.0
267,00332104021512,0.0
268,00332904028672,0.0
269,00333004030104,0.0
270,00333104031536,0.0
271,00333404034400,0.0
272,00333504047288,0.0
273,00333704035832,0.0
274,00340700054449,0.0
275,00340900008625,-0.0
276,00341000011489,-0.0
277,00341100010057,0.0
278,00341300014353,0.0
279,00341500017217,0.0
280,00341700020081,0.0
281,00341900045857,-0.0
282,00342000041561,0.0
283,00342100021513,0.0
284,00342300022945,0.0
285,00342400024377,0.0
286,00342700042993,-0.0
287,00342800044425,0.0
