Country Name,id
Afghanistan,135
Australia,252
Austria,207
Bangladesh,271
Belgium,188
Canada,229
China,13
"Congo, Dem. Rep.",217
Denmark,203
Ethiopia,235
Finland,210
France,212
Germany,203
India,200
Ireland,134
Italy,178
Japan,6
Kenya,5
"Korea, Rep.",6
Madagascar,138
Malawi,3
Mozambique,135
Myanmar,78
Nepal,120
Netherlands,101
New Zealand,5
Nigeria,4
Norway,72
Pakistan,68
Singapore,39
South Sudan,1
Sweden,49
Switzerland,37
Tanzania,4
Uganda,5
United Kingdom,12
United States,14
"Yemen, Rep.",2
Zimbabwe,7
