Series Name,id
Women Business and the Law Index Score (scale 1-100),16
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),12
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),12
"Personal remittances, paid (current US$)",12
Net secondary income (Net current transfers from abroad) (current LCU),12
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),11
Aquaculture production (metric tons),11
"Manufacturing, value added (current US$)",11
"Life expectancy at birth, female (years)",11
"Adolescent fertility rate (births per 1,000 women ages 15-19)",11
"Mortality rate, adult, female (per 1,000 female adults)",10
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),10
Food production index (2014-2016 = 100),10
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),10
Merchandise imports (current US$),10
Capture fisheries production (metric tons),10
"GNI per capita, Atlas method (current US$)",10
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),10
"Charges for the use of intellectual property, payments (BoP, current US$)",9
Rural population,9
Consumer price index (2010 = 100),9
Number of deaths ages 10-14 years,9
Number of deaths ages 5-9 years,9
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),9
Net secondary income (Net current transfers from abroad) (current US$),9
Mobile cellular subscriptions,9
Fertilizer consumption (kilograms per hectare of arable land),9
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),9
Adjusted net national income (current US$),9
Crop production index (2014-2016 = 100),9
Renewable internal freshwater resources per capita (cubic meters),9
Gross capital formation (current US$),9
Total fisheries production (metric tons),9
Gross capital formation (current LCU),9
"Agriculture, forestry, and fishing, value added (current US$)",9
Military expenditure (current USD),9
"Labor force, total",9
Gross domestic savings (current US$),9
Merchandise exports (current US$),9
Exports of goods and services (current LCU),9
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),9
"Net secondary income (BoP, current US$)",8
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),8
"Industry (including construction), value added (current US$)",8
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),8
GDP per capita (current US$),8
GDP (current LCU),8
Adjusted savings: particulate emission damage (current US$),8
Agricultural land (sq. km),8
Commercial service exports (current US$),8
"Probability of dying among adolescents ages 10-14 years (per 1,000)",8
"Population ages 0-14, female",8
Cereal production (metric tons),8
"Population ages 15-64, male",8
Number of infant deaths,8
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),8
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),8
Arable land (hectares per person),8
"Population ages 15-64, female",8
"Total reserves (includes gold, current US$)",8
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),8
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),8
Number of deaths ages 15-19 years,8
External balance on goods and services (current US$),8
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),8
Merchandise imports by the reporting economy (current US$),8
"Mortality rate, adult, male (per 1,000 male adults)",8
Methane (CH4) emissions from Waste (Mt CO2e),8
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),8
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),8
Adjusted net national income per capita (current US$),7
Number of deaths ages 20-24 years,7
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",7
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),7
Compensation of employees (current LCU),7
"Probability of dying among adolescents ages 15-19 years (per 1,000)",7
"Armed forces personnel, total",7
"Probability of dying among children ages 5-9 years (per 1,000)",7
Adjusted savings: carbon dioxide damage (current US$),7
Urban population,7
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),7
Net primary income (Net income from abroad) (current LCU),7
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",7
External balance on goods and services (current LCU),7
Export value index (2015 = 100),7
Expense (current LCU),7
"Death rate, crude (per 1,000 people)",7
Methane (CH4) emissions from Agriculture (Mt CO2e),7
Final consumption expenditure (current US$),7
"GNI per capita, PPP (current international $)",7
"GDP per capita, PPP (current international $)",7
Merchandise exports by the reporting economy (current US$),7
"Manufacturing, value added (current LCU)",7
"Life expectancy at birth, male (years)",7
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,7
GDP (current US$),7
Grants and other revenue (current LCU),7
Gross fixed capital formation (current LCU),7
Gross domestic savings (current LCU),7
"Agriculture, forestry, and fishing, value added (current LCU)",7
"Air transport, passengers carried",7
"Air transport, registered carrier departures worldwide",7
Adjusted savings: education expenditure (current US$),7
Adjusted savings: net forest depletion (current US$),6
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,6
Adjusted savings: net national savings (current US$),6
Import value index (2015 = 100),6
"Households and NPISHs Final consumption expenditure, PPP (current international $)",6
Households and NPISHs Final consumption expenditure (current LCU),6
"Annual freshwater withdrawals, total (billion cubic meters)",6
Gross value added at basic prices (GVA) (current US$),6
Gross national expenditure deflator (base year varies by country),6
Households and NPISHs Final consumption expenditure (current US$),6
Military expenditure (current LCU),6
Mobile cellular subscriptions (per 100 people),6
"Net ODA provided, total (current US$)",6
"Mortality rate, under-5 (per 1,000 live births)",6
"Mortality rate, neonatal (per 1,000 live births)",6
Land under cereal production (hectares),6
Livestock production index (2014-2016 = 100),6
Market capitalization of listed domestic companies (current US$),6
"Goods exports (BoP, current US$)",6
GDP deflator (base year varies by country),6
GNI (current US$),6
Imports of goods and services (current LCU),6
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",6
"Personal remittances, received (current US$)",6
"Primary income receipts (BoP, current US$)",6
"Primary education, pupils",6
"Population ages 65 and above, female",6
"Primary income payments (BoP, current US$)",6
