Series Name,id
Aquaculture production (metric tons),6
"Air transport, passengers carried",5
Total fisheries production (metric tons),5
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),5
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",5
Crop production index (2014-2016 = 100),4
External balance on goods and services (current LCU),4
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),4
"Personal remittances, paid (current US$)",4
"Secondary education, pupils",4
"Annual freshwater withdrawals, total (billion cubic meters)",4
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),4
Cereal production (metric tons),4
"Stocks traded, total value (current US$)",3
"Net trade in goods and services (BoP, current US$)",3
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",3
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),3
Methane (CH4) emissions from Building (Energy) (Mt CO2e),3
"Population ages 0-14, female",3
Net secondary income (Net current transfers from abroad) (current LCU),3
"Net trade in goods (BoP, current US$)",3
Market capitalization of listed domestic companies (current US$),3
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),3
Arable land (hectares per person),3
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),3
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),3
Adjusted savings: net national savings (current US$),2
Adjusted savings: particulate emission damage (current US$),2
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2
Merchandise imports (current US$),2
Methane (CH4) emissions from Agriculture (Mt CO2e),2
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2
Land under cereal production (hectares),2
Net barter terms of trade index (2015 = 100),2
"Net bilateral aid flows from DAC donors, Canada (current US$)",2
Military expenditure (current LCU),2
"Net bilateral aid flows from DAC donors, United States (current US$)",2
Livestock production index (2014-2016 = 100),2
"Grants, excluding technical cooperation (BoP, current US$)",2
"Net official flows from UN agencies, UNICEF (current US$)",2
"Patent applications, nonresidents",2
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),2
Number of deaths ages 15-19 years,2
Net foreign assets (current LCU),2
Adjusted savings: carbon dioxide damage (current US$),2
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),2
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),2
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),2
Capture fisheries production (metric tons),2
Agricultural land (sq. km),2
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2
"GNI per capita, PPP (current international $)",2
"Foreign direct investment, net outflows (BoP, current US$)",2
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),2
External balance on goods and services (current US$),2
Food production index (2014-2016 = 100),2
Fixed telephone subscriptions (per 100 people),2
Cereal yield (kg per hectare),2
Adjusted savings: net forest depletion (current US$),2
Adjusted savings: mineral depletion (current US$),2
Adjusted savings: energy depletion (current US$),2
"Net official flows from UN agencies, IFAD (current US$)",2
Net primary income (Net income from abroad) (current LCU),2
Number of deaths ages 10-14 years,2
Number of deaths ages 5-9 years,2
Number of deaths ages 20-24 years,2
Population in urban agglomerations of more than 1 million,2
"Total reserves (includes gold, current US$)",2
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),2
Women Business and the Law Index Score (scale 1-100),2
Population in largest city,2
Commercial service imports (current US$),1
Commercial service exports (current US$),1
Consumer price index (2010 = 100),1
Customs and other import duties (current LCU),1
"Death rate, crude (per 1,000 people)",1
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",1
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),1
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),1
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),1
Children (0-14) living with HIV,1
"Charges for the use of intellectual property, payments (BoP, current US$)",1
Adjusted net national income (current US$),1
Adjusted net national income per capita (current US$),1
Adults (ages 15-49) newly infected with HIV,1
"Adolescent fertility rate (births per 1,000 women ages 15-19)",1
"Adjusted net savings, excluding particulate emission damage (current US$)",1
"Adjusted net savings, including particulate emission damage (current US$)",1
"Birth rate, crude (per 1,000 people)",1
"Armed forces personnel, total",1
"Agriculture, forestry, and fishing, value added (current US$)",1
Broad money to total reserves ratio,1
GNI (current US$),1
"GDP per capita, PPP (current international $)",1
GDP (current US$),1
"Foreign direct investment, net inflows (BoP, current US$)",1
"External debt stocks, short-term (DOD, current US$)",1
F-gases emissions from Industrial Processes (Mt CO2e),1
"Fertility rate, total (births per woman)",1
Fertilizer consumption (kilograms per hectare of arable land),1
"Debt service on external debt, total (TDS, current US$)",1
Export value index (2015 = 100),1
"Manufacturing, value added (current LCU)",1
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),1
"Intentional homicides, male (per 100,000 male)",1
"Life expectancy at birth, female (years)",1
"Life expectancy at birth, male (years)",1
Merchandise exports (current US$),1
Merchandise imports by the reporting economy (current US$),1
"Industry (including construction), value added (current US$)",1
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",1
Import value index (2015 = 100),1
"Hospital beds (per 1,000 people)",1
Gross fixed capital formation (current LCU),1
Imports of goods and services (current US$),1
Gross domestic savings (current US$),1
"GNI, PPP (current international $)",1
General government final consumption expenditure (current US$),1
GNI: linked series (current LCU),1
Goods and services expense (current LCU),1
"Goods exports (BoP, current US$)",1
Grants and other revenue (current LCU),1
Gross capital formation (current LCU),1
"Net financial flows, IDA (NFL, current US$)",1
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",1
"Net bilateral aid flows from DAC donors, Sweden (current US$)",1
"Net bilateral aid flows from DAC donors, Total (current US$)",1
"Net bilateral aid flows from DAC donors, Norway (current US$)",1
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",1
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",1
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",1
"Net bilateral aid flows from DAC donors, France (current US$)",1
"Net bilateral aid flows from DAC donors, Ireland (current US$)",1
"Mortality rate, infant, female (per 1,000 live births)",1
"Mortality rate, infant, male (per 1,000 live births)",1
"Mortality rate, under-5 (per 1,000 live births)",1
"Mortality rate, under-5, female (per 1,000 live births)",1
"Net ODA provided, to the least developed countries (current US$)",1
"Net ODA provided, total (current US$)",1
Mobile cellular subscriptions,1
Methane (CH4) emissions from Waste (Mt CO2e),1
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),1
Methane (CH4) emissions from Industrial Processes (Mt CO2e),1
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),1
"Mortality rate, adult, female (per 1,000 female adults)",1
"Mortality rate, infant (per 1,000 live births)",1
"Labor force, total",1
"Listed domestic companies, total",1
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),1
Net primary income (Net income from abroad) (current US$),1
Net secondary income (Net current transfers from abroad) (current US$),1
"Net incurrence of liabilities, total (current LCU)",1
"Net primary income (BoP, current US$)",1
"Net secondary income (BoP, current US$)",1
Net migration,1
"Physicians (per 1,000 people)",1
"Patent applications, residents",1
Other taxes (current LCU),1
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",1
Other expense (current LCU),1
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),1
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),1
Number of infant deaths,1
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),1
"Primary education, pupils",1
"Population ages 0-14, male",1
"Population ages 0-14, total",1
"Population ages 65 and above, female",1
"Population ages 15-64, female",1
"Portfolio equity, net inflows (BoP, current US$)",1
"Primary education, duration (years)",1
Rural population,1
Renewable internal freshwater resources per capita (cubic meters),1
Refugee population by country or territory of origin,1
Real effective exchange rate index (2010 = 100),1
"Probability of dying among children ages 5-9 years (per 1,000)",1
"Probability of dying among adolescents ages 10-14 years (per 1,000)",1
"Primary income payments (BoP, current US$)",1
"School enrollment, secondary (gross), gender parity index (GPI)",1
Taxes less subsidies on products (current LCU),1
Surface area (sq. km),1
Subsidies and other transfers (current LCU),1
"Services, value added (current LCU)",1
"School enrollment, primary and secondary (gross), gender parity index (GPI)",1
Taxes on international trade (current LCU),1
Urban population,1
Young people (ages 15-24) newly infected with HIV,1
