,0
1993,0.02722457085793318
1994,0.04185730834108654
1995,0.09554545819191546
1996,0.10245361652294838
1997,0.13531356855370497
1998,0.16145676575533355
1999,0.19183425458028355
2000,0.22705340802336824
2001,0.2890560063276985
2002,0.3210064144139654
2003,0.34936957364979254
2004,0.3860544626567246
2005,0.42880662703326
2006,0.4591138217106954
2007,0.512358527900938
2008,0.5696400611480066
2009,0.6161732831965646
2010,0.6438410690624817
2011,0.6537020671495098
2012,0.6680539186019939
2013,0.6842784995612297
2014,0.7062750397376514
2015,0.724933647563396
2016,0.7655300981044734
2017,0.7918638345112793
2018,0.8135854108998551
2019,0.8382755106820349
2020,0.8248120084852023
2021,0.8224678025288236
2022,0.8987889722068297
2023,0.904226901827309
