id,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00020100000001,,,,,,,,49.16664608807829,49.68632245382171,50.307604759148404,50.90362238284732,51.61058716202607,52.21854792084269,53.03715131242191,53.90831153220561,54.93157719611592,56.002064504149665,57.104630770401855,58.2948709330785,59.54317183947071,60.95042664021522,62.288491652649746,63.69457070584402,65.22399657757101,66.67959368232322,68.23898382017575,69.67899615190655,71.14482974984726,72.4368986952722,73.7402526110427,
00030100000002,,,,,,,,24.15858370108189,24.319390999433892,24.631165693560217,24.909059366861804,25.278217743963147,25.7140812848029,26.371043759045126,27.012105654147938,27.935353544443345,28.943943631485155,30.09860369184527,31.453300540383097,32.96057429236365,34.73175032043367,36.550374384792384,38.513031149724945,40.686727198208324,42.908978017881864,45.206025481241774,47.528097107420784,50.00699909858472,52.19435285632528,54.43167483711406,
00040100000003,,,,,,,,75.98223515890461,76.41211420351266,76.81282236747137,77.28547311403683,77.69281373918712,78.18153125158082,78.71166221262871,79.34080668199492,80.07422996584876,80.8002559216742,81.54738391678762,82.27043666287045,83.05155894512939,83.7331977025015,84.42521714346418,85.10623127402891,85.79538583452526,86.43711147559189,87.00509831238523,87.62271600347638,88.10751150753643,88.55388827097748,88.89774720143353,
00050100000004,,,,,,73.19623538545798,74.50321051167406,78.22140091008494,78.71523321090459,79.10069605310942,79.96462983758636,79.95170255429112,80.70074701030387,81.35274026741924,81.97030146710155,82.66718967575541,82.86467874959344,83.4457248747674,84.50421831918536,84.9339457280601,85.70947903233323,86.1952045782154,86.92354811386403,88.1038273506242,88.9310968401293,89.7963518726606,90.10693006934741,90.39737826184331,91.33499199242291,91.27785332524395,
00060100000005,,,,,,,,66.3848917650058,68.2120456045662,68.45313125707355,67.34835237424694,66.96553465647504,68.28122402409197,68.93006944797821,68.98908177277062,70.71106928788176,72.21149304989103,72.77692724183525,74.13257071585876,74.74998328811276,75.94137539189215,76.1939642223741,76.6559045631895,79.25936833927852,80.77208237114215,81.98692250173653,82.61623798766766,82.8488898331942,84.33774357110859,83.88561502076092,
00070100000006,94.29227242282977,94.76422510707488,94.73361267279977,94.55688019630294,94.62944452774175,94.45615978635783,94.92633921109193,94.78213417599319,94.68091927881629,94.8376367680645,95.00873520377819,94.97744218998153,95.16390722669676,95.35579084836773,95.56004412131472,95.59424876291324,95.9924808209241,95.88125882787621,96.39013529409043,96.4887344659039,96.5005205412843,96.5683523120895,96.44412989615843,96.89643160490702,97.14290242875126,97.0367782466657,97.28982261782456,97.26911882758094,97.6382876147993,97.635725901546,
00080100000007,,,,,,,,,,,,,,,,,,,50.63,,,61.92,,,68.5,,,,76.2,,
00090100000008,,,,,,,,,,,,,,,,,,,46.62,,,58.4,,,64.85,,,,73.99,,
00100100000009,,,,,,,,,,,,,,,,,,,54.75,,,65.49,,,72.24,,,,78.35,,
00110100000010,,,,,,,,,,,,,,,,,,,54.45,,,66.12,,,71.91,,,,79.07,,
00120100000011,,,,,,,,,,,,,,,,,,,41.38,,,54.62,,,60.89,,,,71.91,,
00130100000012,,,,,,,,,,,,,,,,,,,36.99,,,48.4,,,56.34,,,,66.01,,
00140100000013,,,,,,,,,,,,,,,,,,,57.06,,,66.86,,,73.73,,,,79.05,,
00150100000014,,,,,,,,,,,,,,,,,,,66.12,,,73.22,,,78.6,,,,84.62,,
00160100000015,,,,,,,,,,,,,,,,,,,37.08,,,46.9,,,56.3,,,,65.52,,
00170100000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00180100000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00190100000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00200100000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00210100000020,,,,,,,,,,,,,,,89.74708,,89.88673,89.73896,89.76079,90.09036,90.28756,90.44798,90.30999,90.5136,90.48209,90.45493,,,,,
00220100000021,,,,,,,,,,,,,,,,,89.20455,89.1279,89.34253,89.50035,89.67569,89.76395,89.5167,89.63329,89.56732,89.45854,,,,,
00230100000022,,,,,,,,,,,,,,,,,,90.40824,90.24007,90.74577,90.95355,91.19433,91.15254,91.41351,91.40409,91.46353,,,,,
