Series Name,id
Access to electricity (% of population),1
Adjusted savings: consumption of fixed capital (% of GNI),1
Agricultural raw materials imports (% of merchandise imports),1
"Air transport, passengers carried",1
Children (0-14) living with HIV,1
"Children out of school, primary, male",1
Employment in agriculture (% of total employment) (modeled ILO estimate),1
"Fertility rate, total (births per woman)",1
Final consumption expenditure (annual % growth),1
"Foreign direct investment, net inflows (BoP, current US$)",1
Fuel imports (% of merchandise imports),1
General government final consumption expenditure (annual % growth),1
Gross capital formation (annual % growth),1
"IFC, private nonguaranteed (NFL, US$)",1
"Inflation, GDP deflator (annual %)",1
"Inflation, GDP deflator: linked series (annual %)",1
"Labor force, total",1
"Life expectancy at birth, male (years)",1
Merchandise exports (current US$),1
"Net ODA received (% of imports of goods, services and primary income)",1
Net ODA received per capita (current US$),1
Net acquisition of financial assets (% of GDP),1
"Net bilateral aid flows from DAC donors, Austria (current US$)",1
"Net errors and omissions (BoP, current US$)",1
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),1
Other taxes (current LCU),1
Sex ratio at birth (male births per female births),1
"Taxes on income, profits and capital gains (current LCU)",1
Total fisheries production (metric tons),1
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),1
