Series Name,id
Young people (ages 15-24) newly infected with HIV,1
"Access to electricity, urban (% of urban population)",1
Adjusted net national income (constant 2015 US$),1
Adjusted net national income (current US$),1
Adjusted net national income per capita (constant 2015 US$),1
Adjusted net national income per capita (current US$),1
Adjusted savings: carbon dioxide damage (% of GNI),1
Adjusted savings: consumption of fixed capital (% of GNI),1
Adjusted savings: education expenditure (% of GNI),1
Adjusted savings: gross savings (% of GNI),1
Travel services (% of commercial service imports),1
Travel services (% of commercial service exports),1
"Transport services (% of service imports, BoP)",1
"Transport services (% of service exports, BoP)",1
Transport services (% of commercial service imports),1
Trade in services (% of GDP),1
Trade (% of GDP),1
Total reserves in months of imports,1
Total greenhouse gas emissions including LULUCF (Mt CO2e),1
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),1
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),1
Total greenhouse gas emissions excluding LULUCF (% change from 1990),1
Total fisheries production (metric tons),1
"Tertiary education, academic staff (% female)",1
"Survival to age 65, male (% of cohort)",1
"Survival to age 65, female (% of cohort)",1
Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),1
Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),1
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),1
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),1
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),1
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),1
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),1
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),1
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),1
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),1
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),1
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),1
Broad money (% of GDP),1
"Birth rate, crude (per 1,000 people)",1
Arable land (hectares per person),1
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",1
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",1
"Computer, communications and other services (% of commercial service imports)",1
"Computer, communications and other services (% of commercial service exports)",1
"Communications, computer, etc. (% of service imports, BoP)",1
"Communications, computer, etc. (% of service exports, BoP)",1
Commercial service imports (current US$),1
Commercial service exports (current US$),1
"Claims on central government, etc. (% GDP)",1
Children (ages 0-14) newly infected with HIV,1
"Charges for the use of intellectual property, receipts (BoP, current US$)",1
"Charges for the use of intellectual property, payments (BoP, current US$)",1
Cereal yield (kg per hectare),1
Cereal production (metric tons),1
Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),1
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),1
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1
"Employment in services, male (% of male employment) (modeled ILO estimate)",1
"Employment in services, female (% of female employment) (modeled ILO estimate)",1
Employment in services (% of total employment) (modeled ILO estimate),1
"Employment in industry, male (% of male employment) (modeled ILO estimate)",1
Employment in industry (% of total employment) (modeled ILO estimate),1
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",1
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1
Employment in agriculture (% of total employment) (modeled ILO estimate),1
"Employers, total (% of total employment) (modeled ILO estimate)",1
"Employers, male (% of male employment) (modeled ILO estimate)",1
"Employers, female (% of female employment) (modeled ILO estimate)",1
Domestic credit to private sector by banks (% of GDP),1
"Death rate, crude (per 1,000 people)",1
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",1
Final consumption expenditure (current US$),1
Final consumption expenditure (constant 2015 US$),1
Fertilizer consumption (kilograms per hectare of arable land),1
"Fertility rate, total (births per woman)",1
F-gases emissions from Industrial Processes (Mt CO2e),1
External balance on goods and services (% of GDP),1
"Exports of goods, services and primary income (BoP, current US$)",1
Exports of goods and services (current US$),1
Exports of goods and services (constant 2015 US$),1
"Exports of goods and services (BoP, current US$)",1
Exports of goods and services (% of GDP),1
Expense (% of GDP),1
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",1
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",1
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1
"GNI per capita, PPP (constant 2021 international $)",1
"GNI per capita, Atlas method (current US$)",1
GNI per capita (constant 2015 US$),1
GNI (current US$),1
GNI (constant 2015 US$),1
"GDP, PPP (current international $)",1
"GDP, PPP (constant 2021 international $)",1
GDP per person employed (constant 2021 PPP $),1
"GDP per capita, PPP (current international $)",1
"GDP per capita, PPP (constant 2021 international $)",1
GDP per capita (current US$),1
GDP per capita (constant 2015 US$),1
GDP (current US$),1
GDP (constant 2015 US$),1
Forest area (sq. km),1
Forest area (% of land area),1
Gross fixed capital formation (current US$),1
Gross fixed capital formation (constant 2015 US$),1
Gross fixed capital formation (% of GDP),1
Gross domestic savings (current US$),1
Gross domestic savings (% of GDP),1
Gross capital formation (current US$),1
Gross capital formation (constant 2015 US$),1
Gross capital formation (% of GDP),1
