,0
Afghanistan_Adjusted savings: carbon dioxide damage (current US$),99622543.46296422
Afghanistan_Adjusted savings: energy depletion (current US$),10365682.046198148
Afghanistan_Adjusted savings: mineral depletion (current US$),133441.3021777324
Afghanistan_Adjusted savings: net forest depletion (current US$),11788023.283947252
"Afghanistan_Adolescent fertility rate (births per 1,000 women ages 15-19)",35.66455382986493
Afghanistan_Adults (ages 15+) and children (ages 0-14) newly infected with HIV,242.12362541130324
Afghanistan_Adults (ages 15-49) newly infected with HIV,195.53617085287763
Afghanistan_Agricultural land (sq. km),1333.5989186016334
"Afghanistan_Annual freshwater withdrawals, total (billion cubic meters)",0.691567826532064
Afghanistan_Aquaculture production (metric tons),3671.7997678656434
Afghanistan_Arable land (hectares per person),0.09654225643996152
Afghanistan_Arable land (hectares),58421.551658933546
Afghanistan_Average precipitation in depth (mm per year),0.0
Afghanistan_Battle-related deaths (number of people),8962.188368871735
"Afghanistan_Birth rate, crude (per 1,000 people)",6.11078794997635
Afghanistan_Capture fisheries production (metric tons),413.41546181652944
Afghanistan_Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),3.5181486971942926
Afghanistan_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0.09514995957391122
Afghanistan_Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),0.06865399173132733
Afghanistan_Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),0.2639933041265553
Afghanistan_Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),0.13002654278245265
Afghanistan_Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),1.168896000708839
Afghanistan_Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),0.0610079217489748
Afghanistan_Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0.8659450936057002
Afghanistan_Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),1.1954462985559757
Afghanistan_Cereal production (metric tons),1413024.792024381
Afghanistan_Cereal yield (kg per hectare),444.67178430413605
Afghanistan_Children (0-14) living with HIV,160.06644776653025
Afghanistan_Children (ages 0-14) newly infected with HIV,42.48640529318486
Afghanistan_Crop production index (2014-2016 = 100),23.223778411906796
"Afghanistan_Death rate, crude (per 1,000 people)",2.7854647191341653
Afghanistan_Export value index (2015 = 100),50.03448449723588
"Afghanistan_Fertility rate, total (births per woman)",1.1433064604880385
Afghanistan_Fertilizer consumption (kilograms per hectare of arable land),5.360820511625833
Afghanistan_F-gases emissions from Industrial Processes (Mt CO2e),0.251321735492939
Afghanistan_Food production index (2014-2016 = 100),15.956816598529919
Afghanistan_Forest area (sq. km),5.467064367670222e-12
"Afghanistan_Grants, excluding technical cooperation (BoP, current US$)",2016180540.2976925
Afghanistan_Import value index (2015 = 100),39.03405286543793
"Afghanistan_Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.005219112718535199
"Afghanistan_Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",0.007520773753670211
"Afghanistan_Incidence of HIV, all (per 1,000 uninfected population)",0.00499041397149088
"Afghanistan_Labor force, total",1935971.8556914225
Afghanistan_Land area (sq. km),0.0
Afghanistan_Land under cereal production (hectares),342269.2349327823
Afghanistan_Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1.8670837649443544
"Afghanistan_Life expectancy at birth, female (years)",4.567582982562407
"Afghanistan_Life expectancy at birth, male (years)",3.800115188698661
"Afghanistan_Life expectancy at birth, total (years)",4.137782433461994
Afghanistan_Livestock production index (2014-2016 = 100),8.808750676517379
Afghanistan_Lower secondary school starting age (years),0.0
Afghanistan_Merchandise exports (current US$),270444568.2873462
Afghanistan_Merchandise exports by the reporting economy (current US$),229900488.84419096
Afghanistan_Merchandise imports (current US$),2846707055.9447436
