Series Name,id
"GDP, PPP (current international $)",36
GDP (current LCU),36
GDP per capita (current LCU),36
GDP deflator (base year varies by country),36
GDP deflator: linked series (base year varies by country),36
"GDP per capita, PPP (current international $)",36
GDP: linked series (current LCU),36
Adjusted savings: consumption of fixed capital (current US$),35
GNI (current LCU),35
GNI: linked series (current LCU),35
"GNI, PPP (current international $)",35
"GNI per capita, PPP (current international $)",35
GNI per capita (current LCU),34
Adjusted net national income (current US$),34
Adjusted savings: education expenditure (current US$),34
Gross value added at basic prices (GVA) (current LCU),34
Adjusted net national income per capita (current US$),34
Gross capital formation (current US$),33
Gross capital formation (current LCU),33
Consumer price index (2010 = 100),32
Exports of goods and services (current LCU),32
Gross national expenditure (current LCU),32
General government final consumption expenditure (current LCU),32
Gross domestic savings (current LCU),32
Final consumption expenditure (current LCU),32
"Services, value added (current LCU)",32
Households and NPISHs final consumption expenditure: linked series (current LCU),32
Imports of goods and services (current LCU),32
"Industry (including construction), value added (current LCU)",32
Households and NPISHs Final consumption expenditure (current LCU),32
Gross fixed capital formation (current LCU),31
"Households and NPISHs Final consumption expenditure, PPP (current international $)",31
Taxes less subsidies on products (current LCU),31
"PPP conversion factor, GDP (LCU per international $)",29
"Service exports (BoP, current US$)",28
"Total reserves (includes gold, current US$)",28
"Goods imports (BoP, current US$)",28
"Exports of goods and services (BoP, current US$)",28
Gross national expenditure deflator (base year varies by country),28
"Goods exports (BoP, current US$)",28
"Service imports (BoP, current US$)",28
"Manufacturing, value added (current LCU)",28
Commercial service exports (current US$),28
Commercial service imports (current US$),28
"Exports of goods, services and primary income (BoP, current US$)",28
"Agriculture, forestry, and fishing, value added (current LCU)",27
"Personal remittances, received (current US$)",27
Net secondary income (Net current transfers from abroad) (current LCU),26
"PPP conversion factor, private consumption (LCU per international $)",26
"Personal remittances, paid (current US$)",26
"Net secondary income (BoP, current US$)",25
Gross savings (current LCU),25
Total reserves minus gold (current US$),25
"Secondary income receipts (BoP, current US$)",25
Broad money (current LCU),24
"Primary income payments (BoP, current US$)",23
Net primary income (Net income from abroad) (current LCU),23
Net domestic credit (current LCU),22
"Net primary income (BoP, current US$)",22
Adjusted savings: particulate emission damage (current US$),22
Taxes on goods and services (current LCU),21
Tax revenue (current LCU),21
"Revenue, excluding grants (current LCU)",21
External balance on goods and services (current LCU),21
"ICT service exports (BoP, current US$)",21
Goods and services expense (current LCU),20
"Taxes on income, profits and capital gains (current LCU)",20
Expense (current LCU),20
Compensation of employees (current LCU),20
"Primary income receipts (BoP, current US$)",20
"Net trade in goods (BoP, current US$)",19
"Armed forces personnel, total",19
Import volume index (2015 = 100),19
Subsidies and other transfers (current LCU),19
"Net trade in goods and services (BoP, current US$)",18
DEC alternative conversion factor (LCU per US$),18
"Air transport, passengers carried",18
"Net ODA provided, total (current US$)",18
Net foreign assets (current LCU),18
Import unit value index (2015 = 100),18
Export volume index (2015 = 100),17
"Secondary income, other sectors, payments (BoP, current US$)",17
"Air transport, registered carrier departures worldwide",16
"Charges for the use of intellectual property, receipts (BoP, current US$)",16
Grants and other revenue (current LCU),16
Adjusted savings: net national savings (current US$),16
"Charges for the use of intellectual property, payments (BoP, current US$)",15
Interest payments (current LCU),15
Export unit value index (2015 = 100),15
"External debt stocks, long-term (DOD, current US$)",14
"Hospital beds (per 1,000 people)",14
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",14
Other expense (current LCU),14
"Adjusted net savings, excluding particulate emission damage (current US$)",14
"Adjusted net savings, including particulate emission damage (current US$)",14
"Air transport, freight (million ton-km)",13
Other taxes (current LCU),13
"Patent applications, nonresidents",12
"Use of IMF credit (DOD, current US$)",12
"Current account balance (BoP, current US$)",12
"External debt stocks, short-term (DOD, current US$)",12
"Net ODA provided, to the least developed countries (current US$)",12
"Foreign direct investment, net inflows (BoP, current US$)",11
"Patent applications, residents",11
"Gross fixed capital formation, private sector (current LCU)",11
"Personal transfers, receipts (BoP, current US$)",10
"IBRD loans and IDA credits (DOD, current US$)",10
"Listed domestic companies, total",10
